number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp
3815,Ned3815,-9960,20,gd,10001,41,Starvation,Simulator,0.985970523,0.529080981,0.470919019,0.385823589,0.029715866,0.046770732,0.894006986,0.038585483,0.961414517,0.092862412,0.280809768,0.205851047,0.522039843,0.950033285,0.809269253,0.641742704,0.358257296,0.157431421,0.008916158,0.991083842,0.160250459,0.839749541,0.434072207,0.529080981,0.470919019,1.123507353,0.486850246,0.205851047,0.205851047,4.440208114,0.187443704,0.709560027,0.361482479,0.950033285,0.879651269,0.412664715,0.970558564,0.190651767,0.553732353,0.058004427,0.716691811,0.138433088,0.132270245,0.280876838,3,0.587335285,0.337555262,0.443071975,0.566579187,0.712524964,0.462545163,1.661687596
3816,Robb3816,-9991,20,gd,10001,10,Fight,Simulator,0.385691467,0.1628134,0.8371866,0.484492817,0.651622374,0.987138271,0.695496433,0.2814127,0.7185873,0.138154318,0.527554922,0.277268601,0.261810653,0.552668798,0.768927935,0.814008021,0.185991979,0.572262775,0.926196789,0.073803211,0.790824469,0.209175531,0.460237314,0.1628134,0.8371866,0.194476834,0.578927279,0.277268601,0.277268601,4.807984851,1.014946154,0.571481067,0.867124458,0.552668798,0.660798366,0.685051203,0.313236004,0.738366034,0.562465786,0.029090073,0.611632076,0.140616447,0.04070335,0.048619209,3,0.314948797,0.777910854,0.752725224,0.641836149,0.414501598,0.656774435,1.805334068
3817,Cersei3817,-9895,20,gd,10001,106,Fight,Simulator,0.07205214,0.171054467,0.828945533,0.950053359,0.492997307,0.005494482,0.059172607,0.892416556,0.107583444,0.652465156,0.490288117,0.570484669,0.98928081,0.55781328,0.102782568,0.212902135,0.787097865,0.216634627,0.809990294,0.190009706,0.464615507,0.535384493,0.585458974,0.171054467,0.828945533,0.206351878,0.318529886,0.570484669,0.570484669,3.685733827,1.564312951,0.261883852,1.130169918,0.55781328,0.330297924,0.505723107,0.373911493,0.515260657,0.387223954,0.10992009,0.358760939,0.096805988,0.042763617,0.051587969,2,0.494276893,1.129131882,1.056286518,0.569367023,0.41835996,0.892207908,1.371394601
3818,Myrcella3818,-9991,20,gd,10001,10,Fight,Simulator,0.21120953,0.549216182,0.450783818,0.066491669,0.896759542,0.087785267,0.17983384,0.579402099,0.420597901,0.275919756,0.688449579,0.052019529,0.937863482,0.857458894,0.439781953,0.991312699,0.008687301,0.008215065,0.793852587,0.206147413,0.657425747,0.342574253,0.352043043,0.549216182,0.450783818,1.218358244,0.294691108,0.052019529,0.052019529,3.723208326,11.1381651,0.297738443,7.524689545,0.857458894,0.648620423,0.696291322,0.531803153,0.619834915,0.432836979,0.104207054,0.540728701,0.108209245,0.137304045,0.304589561,3,0.303708678,7.509818846,6.843311098,2.948582275,0.643094171,5.220910621,1.374035496
3819,Joffrey3819,-9979,20,gd,10001,22,Wounds,Simulator,0.339704241,0.647551051,0.352448949,0.44951868,0.023285759,0.726934948,0.877553801,0.755938073,0.244061927,0.212801231,0.443878828,0.69124438,0.29669751,0.857909839,0.539000105,0.33119175,0.66880825,0.241355071,0.903028097,0.096971903,0.328419364,0.671580636,0.612013133,0.647551051,0.352448949,1.837290349,0.375829574,0.69124438,0.69124438,4.400961584,1.09359019,0.393122745,0.860101041,0.857909839,0.698454972,0.558554962,0.477440871,0.434488204,0.549632455,0.03296639,0.624043714,0.137408114,0.161887763,0.459322587,3,0.441445038,0.955341168,1.085767335,0.58606288,0.643432379,0.851371572,1.603252516
3820,Tyrion3820,-9992,20,gd,10001,9,Fight,Simulator,0.872763554,0.160383635,0.839616365,0.766918589,0.050984764,0.877015839,0.961410843,0.585180801,0.414819199,0.353961518,0.169611239,0.870995304,0.092128683,0.175977353,0.276467418,0.178916685,0.821083315,0.913093666,0.047286684,0.952713316,0.16928951,0.83071049,0.661225661,0.160383635,0.839616365,0.19102014,0.68808926,0.870995304,0.870995304,4.853039033,0.671852992,0.566877901,0.636861295,0.175977353,0.226222386,0.306550842,0.564345334,0.270196132,0.544535509,0.01023652,0.385378947,0.136133877,0.040095909,0.047755035,2,0.693449158,0.564620043,0.573399851,0.555372384,0.131983015,0.4204077,1.850454938
3821,Tywin3821,-9999,20,gd,10001,2,Fight,Simulator,0.855298364,0.487743098,0.512256902,0.897890118,0.134721613,0.171275511,0.117836932,0.228666623,0.771333377,0.606442092,0.216967234,0.741193143,0.024391379,0.538120435,0.825789107,0.517056868,0.482943132,0.191340784,0.261758702,0.738241298,0.929865694,0.070134306,0.610565252,0.487743098,0.512256902,0.952145487,0.582896794,0.741193143,0.741193143,4.377185157,0.30851152,0.761286632,0.459436557,0.538120435,0.681954771,0.444703892,0.638180867,0.666563603,0.364730609,0.002710153,0.52334269,0.091182652,0.121935774,0.238036372,3,0.555296108,0.421283218,0.510897378,0.626655375,0.403590326,0.415385588,1.654264035
3822,Caitlyn3822,-9436,20,grd,10001,565,Wounds,Simulator,0.266345295,0.122614275,0.877385725,0.961098306,0.822514763,0.531322671,0.080691817,0.486467538,0.513532462,0.774608219,0.350684132,0.900678494,0.341062834,0.772696312,0.819975422,0.159645562,0.840354438,0.126057621,0.379334252,0.620665748,0.824874951,0.175125049,0.764588217,0.122614275,0.877385725,0.139749567,0.569525266,0.900678494,0.900678494,4.383503938,0.540112306,0.642581139,0.574268584,0.772696312,0.796335867,0.384744954,0.69668103,0.584453457,0.449376966,0.03789587,0.622856416,0.112344242,0.030653569,0.034937392,3,0.615255046,0.479848584,0.507924145,0.570470495,0.579522234,0.513073134,1.663641692
3823,Ned3823,-9606,20,gd,10001,395,Fight,Simulator,0.158565504,0.057666408,0.942333592,0.821702008,0.785504542,0.238075105,0.740409788,0.159639076,0.840360924,0.886970723,0.324158719,0.967401161,0.018838445,0.07082777,0.721457197,0.454788379,0.545211621,0.978976538,0.455128559,0.544871441,0.642571697,0.357428303,0.702194978,0.057666408,0.942333592,0.061195322,0.432482533,0.967401161,0.967401161,5.432303771,0.165018487,0.88270767,0.404248215,0.07082777,0.396142483,0.477479234,0.307849606,0.613693256,0.524902154,0.002093161,0.460522319,0.131225539,0.014416602,0.015298831,2,0.522520766,0.227852283,0.294328008,0.633718662,0.053120827,0.169608465,1.955626488
3824,Robb3824,-9966,20,gd,10001,35,Starvation,Simulator,0.533891231,0.119873482,0.880126518,0.202822862,0.728371466,0.99564751,0.282217988,0.482190881,0.517809119,0.560869844,0.201829101,0.868408536,0.553225068,0.443230057,0.267186672,0.683656799,0.316343201,0.294477409,0.216064517,0.783935483,0.360495086,0.639504914,0.704083169,0.119873482,0.880126518,0.136200285,0.59892486,0.868408536,0.868408536,4.000772772,0.555258108,0.634675591,0.581730603,0.443230057,0.355208365,0.474930329,0.61358277,0.395584433,0.368853733,0.061469452,0.362031049,0.092213433,0.029968371,0.034050071,2,0.525069671,0.484587687,0.508158792,0.568622676,0.332422543,0.433865973,1.553722361
3825,Bran3825,-9900,20,gd,10001,101,Starvation,Simulator,0.094239012,0.951196637,0.048803363,0.588693104,0.968145246,0.849744861,0.925088074,0.601038283,0.398961717,0.227120326,0.821180967,0.323171007,0.835350083,0.933704383,0.775131047,0.164278514,0.835721486,0.499950751,0.937136762,0.062863238,0.702674628,0.297325372,0.421717252,0.951196637,0.048803363,19.49039108,0.519012247,0.323171007,0.323171007,4.919411488,1.85981499,0.373698147,1.364442709,0.933704383,0.854417715,0.525353819,0.49828381,0.608104816,0.716827567,0.092816676,0.785622641,0.179206892,0.237799159,4.87259777,4,0.474646181,1.52515116,4.627067879,0.78646876,0.700278287,1.250193535,1.843746804
3826,Jon3826,-9978,20,gd,10001,23,Fight,Simulator,0.503984168,0.92662379,0.07337621,0.223850549,0.321539789,0.421739705,0.802233457,0.86859228,0.13140772,0.729224416,0.322542877,0.577954032,0.411584784,0.126817146,0.298328814,0.704588032,0.295411968,0.401497302,0.232625923,0.767374077,0.194038848,0.805961152,0.419150779,0.92662379,0.07337621,12.62839529,0.395019676,0.577954032,0.577954032,4.346663764,1.502874333,0.280256491,1.095335052,0.126817146,0.21257298,0.484303489,0.447095612,0.356321393,0.264157224,0.045731643,0.238365102,0.066039306,0.231655947,3.157098822,1,0.515696511,1.277710275,3.194867278,0.635409358,0.09511286,0.883511136,1.595805027
