number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp
5569,Ned5569,221,29,bd,4500,4721,Starvation,Robb5393,0.63022047,0.995842468,0.004157532,0.064179837,0.727234782,0.889553609,0.780323728,0.387861253,0.612138747,0.933128439,0.487200992,0.19622366,0.788377813,0.291649248,0.795135585,0.94330042,0.05669958,0.171947445,0.989054402,0.010945598,0.576786297,0.423213703,0.269211109,0.995842468,0.004157532,239.5273159,0.588281834,0.19622366,0.19622366,4.602523139,1.976628365,0.473500385,1.475585705,0.291649248,0.543392417,0.733088705,0.151297423,0.683840969,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.266911295,1.61022469,43.51962672,0.885380691,0.218736936,1.146395439,1.759467503
5570,Edmure5570,,29,b,4500,Alive,Survived,Robb5393,0.63022047,0.995842468,0.004157532,0.064179837,0.727234782,0.915398742,0.787847983,0.396398765,0.603601235,0.933128439,0.487200992,0.19622366,0.788377813,0.292004934,0.795135585,0.94330042,0.05669958,0.171947445,0.989054402,0.010945598,0.576786297,0.423213703,0.269261921,0.995842468,0.004157532,239.5273159,0.59345086,0.19622366,0.19622366,4.605532842,2.020137454,0.46780871,1.50269454,0.292004934,0.54357026,0.733088705,0.151475266,0.683796508,0.23197619,0.087597535,0.387773225,0.057994047,0.248960617,59.88182896,2,0.266911295,1.638458429,43.54455667,0.892133899,0.219003701,1.165306853,1.762193745
5571,Rickon5571,,29,b,4500,Alive,Survived,Robb5393,0.63022047,0.995842468,0.004157532,0.064179837,0.727234782,0.889553609,0.780323728,0.387861253,0.612138747,0.933128439,0.501998935,0.19622366,0.788377813,0.291649248,0.795135585,0.94330042,0.05669958,0.171947445,0.989054402,0.010945598,0.576786297,0.423213703,0.269211109,0.995842468,0.004157532,239.5273159,0.588281834,0.19622366,0.19622366,4.605482728,1.976628365,0.473500385,1.475585705,0.291649248,0.543392417,0.733088705,0.151297423,0.683840969,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.266911295,1.61022469,43.51962672,0.885380691,0.218736936,1.146395439,1.760454032
5572,Jon5572,321,29,bd,4500,4821,Starvation,Robb5393,0.63022047,0.995842468,0.004157532,0.064179837,0.727234782,0.889553609,0.780323728,0.387861253,0.612138747,0.933128439,0.479383287,0.19622366,0.788377813,0.291649248,0.795135585,0.94330042,0.05669958,0.171947445,0.989054402,0.010945598,0.576786297,0.423213703,0.269211109,0.995842468,0.004157532,239.5273159,0.588281834,0.19622366,0.19622366,4.600959599,1.976628365,0.473500385,1.475585705,0.291649248,0.543392417,0.733088705,0.151297423,0.683840969,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.266911295,1.61022469,43.51962672,0.885380691,0.218736936,1.146395439,1.758946322
5573,Tywin5573,,29,b,4500,Alive,Survived,Robb5393,0.63022047,0.995842468,0.004157532,0.064179837,0.727234782,0.889553609,0.780323728,0.387861253,0.612138747,0.933128439,0.487200992,0.19622366,0.788377813,0.291649248,0.795135585,0.94330042,0.05669958,0.171947445,0.989054402,0.010945598,0.576786297,0.423213703,0.269211109,0.995842468,0.004157532,239.5273159,0.588281834,0.19622366,0.19622366,4.602523139,1.976628365,0.473500385,1.475585705,0.291649248,0.543392417,0.733088705,0.151297423,0.683840969,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.266911295,1.61022469,43.51962672,0.885380691,0.218736936,1.146395439,1.759467503
5574,Edmure5574,511,29,brd,4500,5011,Starvation,Eddard5315,0.620382963,0.995842468,0.004157532,0.058871927,0.721562492,0.889553609,0.76089131,0.367086872,0.632913128,0.991916136,0.457319848,0.19622366,0.855539204,0.291649248,0.834837505,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.269211109,0.995842468,0.004157532,239.5273159,0.582150791,0.19622366,0.19622366,4.640233403,1.870757442,0.487349972,1.409621618,0.291649248,0.563243377,0.716393114,0.151297423,0.680967603,0.231798347,0.095059912,0.397520862,0.057949587,0.248960617,59.88182896,2,0.283606886,1.541531495,43.45897907,0.86894807,0.218736936,1.100599975,1.772481369
5575,Tywin5575,271,29,bd,4500,4771,Starvation,Eddard5315,0.620382963,0.995842468,0.004157532,0.057915881,0.721562492,0.889553609,0.76089131,0.367086872,0.632913128,1,0.457319848,0.19622366,0.855539204,0.291649248,0.834837505,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.269211109,0.995842468,0.004157532,239.5273159,0.581959582,0.19622366,0.19622366,4.641850176,1.870757442,0.487349972,1.409621618,0.291649248,0.563243377,0.716393114,0.151297423,0.680967603,0.231798347,0.095059912,0.397520862,0.057949587,0.248960617,59.88182896,2,0.283606886,1.541531495,43.45897907,0.86894807,0.218736936,1.100599975,1.772956556
5576,Rickard5576,347,29,bd,4500,4847,Starvation,Eddard5315,0.620382963,0.995842468,0.004157532,0.058871927,0.721562492,0.889553609,0.76089131,0.367086872,0.632913128,1,0.457319848,0.19622366,0.855539204,0.291649248,0.797920393,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.269211109,0.995842468,0.004157532,239.5273159,0.582150791,0.19622366,0.19622366,4.604933064,1.870757442,0.487349972,1.409621618,0.291649248,0.544784821,0.716393114,0.151297423,0.680967603,0.231798347,0.095059912,0.388291584,0.057949587,0.248960617,59.88182896,2,0.283606886,1.541531495,43.45897907,0.86894807,0.218736936,1.100599975,1.760714589
5577,Renly5577,437,29,bd,4500,4937,Starvation,Eddard5315,0.620382963,0.995842468,0.004157532,0.058871927,0.698113763,0.889553609,0.76089131,0.367086872,0.632913128,1,0.457319848,0.19622366,0.867198612,0.291649248,0.834837505,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.269211109,0.995842468,0.004157532,239.5273159,0.577461045,0.19622366,0.19622366,4.641850176,1.870757442,0.487349972,1.409621618,0.291649248,0.563243377,0.716393114,0.151297423,0.680967603,0.231798347,0.096355401,0.397520862,0.057949587,0.248960617,59.88182896,2,0.283606886,1.541531495,43.45897907,0.86894807,0.218736936,1.100599975,1.771888874
5578,Edmure5578,126,29,bd,4500,4626,Starvation,Eddard5315,0.620382963,0.995842468,0.004157532,0.058871927,0.721562492,0.902428712,0.76089131,0.367086872,0.632913128,1,0.457319848,0.19622366,0.855539204,0.291649248,0.834837505,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.269211109,0.995842468,0.004157532,239.5273159,0.584725812,0.19622366,0.19622366,4.641850176,1.870757442,0.487349972,1.409621618,0.291649248,0.563243377,0.716393114,0.151297423,0.680967603,0.231798347,0.095059912,0.397520862,0.057949587,0.248960617,59.88182896,2,0.283606886,1.541531495,43.45897907,0.86894807,0.218736936,1.100599975,1.773878633
5579,Melisandra5579,,29,b,4500,Alive,Survived,Eddard5315,0.620382963,0.995842468,0.004157532,0.060614657,0.721562492,0.889553609,0.76089131,0.367086872,0.632913128,1,0.457319848,0.19622366,0.861077225,0.291649248,0.834837505,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.269211109,0.995842468,0.004157532,239.5273159,0.582499337,0.19622366,0.19622366,4.641850176,1.870757442,0.487349972,1.409621618,0.291649248,0.563243377,0.716393114,0.151297423,0.680967603,0.231798347,0.095675247,0.397520862,0.057949587,0.248960617,59.88182896,2,0.283606886,1.541531495,43.45897907,0.86894807,0.218736936,1.100599975,1.773341587
5580,Ned5580,510,29,brd,4500,5010,Starvation,Eddard5315,0.620382963,0.956745898,0.043254102,0.058871927,0.721562492,0.889553609,0.76089131,0.367086872,0.632913128,1,0.457319848,0.19622366,0.855539204,0.291649248,0.834837505,0.876518056,0.123481944,0.171947445,0.989054402,0.010945598,0.57938736,0.42061264,0.274796333,0.956745898,0.043254102,22.11919455,0.582150791,0.19622366,0.19622366,4.641850176,1.870757442,0.487349972,1.409621618,0.291649248,0.563243377,0.716393114,0.151297423,0.680967603,0.231798347,0.095059912,0.397520862,0.057949587,0.239186474,5.529798637,2,0.283606886,1.531617239,5.093497098,0.865393837,0.218736936,1.093990471,1.773020293
5581,Edmure5581,20,29,gd,4500,4520,Starvation,Simulator,0.007297033,0.411287136,0.588712864,0.720677135,0.009101044,0.656543944,0.667796076,0.304133141,0.695866859,0.416402758,0.478065559,0.8418262,0.844927868,0.962420787,0.005491037,0.358044598,0.641955402,0.193829145,0.758408161,0.241591839,0.271440213,0.728559787,0.725230322,0.411287136,0.588712864,0.698620942,0.280183238,0.8418262,0.8418262,3.813697516,0.361277828,0.744519972,0.48902521,0.962420787,0.483955912,0.52911319,0.602006313,0.367496826,0.578124966,0.093880874,0.531040439,0.144531241,0.102821784,0.174655235,3,0.47088681,0.442304032,0.508714217,0.621318892,0.72181559,0.535474551,1.395920543
5582,Rickard5582,,29,g,4500,Alive,Survived,Simulator,0.38136434,0.655959628,0.344040372,0.828921791,0.58757331,0.096129596,0.072342913,0.646495241,0.353504759,0.575815519,0.072437134,0.820182068,0.547316146,0.292938104,0.831855583,0.640117359,0.359882641,0.606697986,0.076985067,0.923014933,0.500587764,0.499412236,0.585360668,0.655959628,0.344040372,1.90663562,0.455070675,0.820182068,0.820182068,4.761177678,0.788233816,0.509063862,0.695177165,0.292938104,0.562396843,0.429275606,0.607976518,0.455618654,0.449818045,0.060812905,0.506107444,0.112454511,0.163989907,0.476658905,3,0.570724394,0.762669283,0.928887887,0.590095587,0.219703578,0.581680715,1.759020419
5583,Tyrion5583,,29,g,4500,Alive,Survived,Simulator,0.675787328,0.801749694,0.198250306,0.858584762,0.328720044,0.426932467,0.142470149,0.093580734,0.906419266,0.215436564,0.199658691,0.434455131,0.163296004,0.142325615,0.139550739,0.658708391,0.341291609,0.269572429,0.272778812,0.727221188,0.114193449,0.885806551,0.377705902,0.801749694,0.198250306,4.044128402,0.593162386,0.434455131,0.434455131,3.636021305,0.215397925,0.749097888,0.393297913,0.142325615,0.140938177,0.482871801,0.434773402,0.319121324,0.205949022,0.018144,0.1734436,0.051487256,0.200437423,1.011032101,1,0.517128199,0.426532369,0.972939532,0.624502606,0.106744211,0.319936316,1.415775897
5584,Eddard5584,,29,g,4500,Alive,Survived,Simulator,0.799143483,0.458345734,0.541654266,0.388371021,0.054188154,0.235537366,0.880325904,0.062691401,0.937308599,0.047205788,0.409926373,0.339567476,0.64930536,0.256944947,0.885016177,0.905404636,0.094595364,0.56822495,0.449479264,0.550520736,0.494867866,0.505132134,0.402471663,0.458345734,0.541654266,0.846196112,0.455276702,0.339567476,0.339567476,4.964711416,0.184621336,0.738061558,0.36910141,0.256944947,0.570980562,0.588720975,0.403732842,0.543680966,0.412584949,0.07214504,0.491782756,0.103146237,0.114586433,0.211549028,2,0.411279025,0.316894328,0.39210989,0.57846552,0.192708711,0.275499122,1.830711053
5585,Cersei5585,26,29,gd,4500,4526,Starvation,Simulator,0.055248315,0.792297849,0.207702151,0.932564436,0.921462758,0.938794067,0.65556365,0.997087145,0.002912855,0.468692905,0.836542817,0.930336513,0.136698208,0.629605638,0.230587349,0.856641093,0.143358907,0.690714747,0.64522893,0.35477107,0.626437063,0.373562937,0.661188189,0.792297849,0.207702151,3.814586633,0.580663578,0.930336513,0.930336513,4.630642003,1.071748912,0.312054074,0.818517299,0.629605638,0.430096493,0.625467506,0.492188354,0.59653832,0.660160193,0.01518869,0.545128343,0.165040048,0.198074462,0.953646658,3,0.374532494,0.97694994,1.418101973,0.539881045,0.472204228,0.80870137,1.742164757
5586,Bran5586,412,29,gd,4500,4912,Starvation,Simulator,0.186527056,0.286254521,0.713745479,0.74860005,0.386933387,0.59206676,0.004590102,0.87967678,0.12032322,0.189306578,0.41946097,0.66584822,0.29463387,0.960818489,0.724060809,0.158235823,0.841764177,0.355901354,0.823025613,0.176974387,0.13901471,0.86098529,0.66744409,0.286254521,0.713745479,0.401059662,0.420130862,0.66584822,0.66584822,4.336721357,1.32113709,0.302164887,0.981479689,0.960818489,0.842439649,0.495315359,0.568896438,0.301112085,0.658359922,0.032737097,0.750399785,0.16458998,0.07156363,0.100264916,4,0.504684641,1.007591561,0.961986344,0.547742054,0.720613867,0.91193233,1.596529772
5587,Tywin5587,51,29,gd,4500,4551,Starvation,Simulator,0.731089083,0.11000905,0.88999095,0.454728298,0.908174307,0.295797252,0.279584985,0.481545195,0.518454805,0.327688623,0.182148312,0.586507059,0.020063969,0.429087325,0.409704896,0.204964385,0.795035615,0.123068822,0.865290144,0.134709856,0.140210848,0.859789152,0.582657065,0.11000905,0.88999095,0.123606931,0.624175605,0.586507059,0.586507059,3.863876511,0.821039043,0.54113889,0.727738992,0.429087325,0.419396111,0.517563632,0.281898591,0.379021685,0.276078074,0.00222933,0.347737092,0.069019518,0.027502262,0.030901733,2,0.482436368,0.642595948,0.636988419,0.569799851,0.321815494,0.53566913,1.496760482
5588,Sansa5588,52,29,gd,4500,4552,Starvation,Simulator,0.686927517,0.073704493,0.926295507,0.905671016,0.537818871,0.794960332,0.199006694,0.66488212,0.33511788,0.30920949,0.621199534,0.899320231,0.315983825,0.279536622,0.647573523,0.941986817,0.058013183,0.504322363,0.800041873,0.199958127,0.663171714,0.336828286,0.700541832,0.073704493,0.926295507,0.079569093,0.722461051,0.899320231,0.899320231,4.597444415,0.739316316,0.52318533,0.667272654,0.279536622,0.463555073,0.685507172,0.239747375,0.693025807,0.391929493,0.035109314,0.427742283,0.097982373,0.018426123,0.019892273,2,0.314492828,0.585890857,0.592901457,0.534718826,0.209652467,0.46047806,1.785004927
5589,Hoster5589,,29,g,4500,Alive,Survived,Simulator,0.66786265,0.672063452,0.327936548,0.662356091,0.580852759,0.682949227,0.548049604,0.400336267,0.599663733,0.616787906,0.54898272,0.99110863,0.438021156,0.12573469,0.943101098,0.159158391,0.840841609,0.02714236,0.540662979,0.459337021,0.871140382,0.128859618,0.632428161,0.672063452,0.327936548,2.049370391,0.652376675,0.99110863,0.99110863,4.62083915,0.403927738,0.730145365,0.512666947,0.12573469,0.534417894,0.424955343,0.292535855,0.718675063,0.076438525,0.048669017,0.305428209,0.019109631,0.168015863,0.512342598,2,0.575044657,0.531875396,0.759560918,0.64578213,0.094301017,0.38601727,1.773961614
5590,Myrcella5590,159,29,gd,4500,4659,Wounds,Simulator,0.72996171,0.042111234,0.957888766,0.534582801,0.955995394,0.094333201,0.567225131,0.228463007,0.771536993,0.396870506,0.781151798,0.604767781,0.913212683,0.725299117,0.25000152,0.734378872,0.265621128,0.743728298,0.164431504,0.835568496,0.377560553,0.622439447,0.642498746,0.042111234,0.957888766,0.043962552,0.608966963,0.604767781,0.604767781,4.577177887,0.377769805,0.715947256,0.490495622,0.725299117,0.487650318,0.474702594,0.780433807,0.362347474,0.734513708,0.101468076,0.611082013,0.183628427,0.010527809,0.010990638,3,0.525297406,0.348744605,0.389792807,0.572707023,0.543974338,0.413821183,1.762537642
5591,Lysa5591,128,29,gd,4500,4628,Fight,Simulator,0.970175862,0.473087703,0.526912297,0.190976643,0.727312893,0.658567638,0.122754791,0.343180023,0.656819977,0.885362216,0.337199426,0.361093908,0.333192405,0.15704992,0.741816073,0.920078014,0.079921986,0.309073925,0.203461956,0.796538044,0.202646222,0.797353778,0.395320563,0.473087703,0.526912297,0.897849047,0.70344178,0.361093908,0.361093908,4.416723024,0.950389954,0.558244621,0.819674843,0.15704992,0.449432997,0.530884992,0.476793982,0.364845864,0.233061922,0.037021378,0.341247459,0.058265481,0.118271926,0.224462262,2,0.469115008,0.811925589,0.829681003,0.645568618,0.11778744,0.580546206,1.719062061
5592,Hoster5592,13,29,gd,4500,4513,Fight,Simulator,0.148688245,0.200508849,0.799491151,0.633879987,0.033409879,0.094772662,0.168512487,0.24828144,0.75171856,0.432511794,0.699332869,0.305580727,0.038589198,0.164272094,0.108280483,0.866487312,0.133512688,0.55049991,0.513890579,0.486109421,0.695906682,0.304093318,0.411500775,0.200508849,0.799491151,0.250795582,0.211887804,0.305580727,0.305580727,4.013670465,0.812490508,0.603005949,0.742662322,0.164272094,0.136276289,0.595094473,0.325190758,0.66542927,0.357386002,0.004287689,0.246831145,0.0893465,0.050127212,0.062698896,1,0.404905527,0.653589954,0.641547369,0.617199439,0.123204071,0.47679466,1.409948653
5593,Edmure5593,,29,g,4500,Alive,Survived,Simulator,0.682693281,0.657932468,0.342067532,0.389807064,0.839457249,0.258669505,0.55244031,0.529251444,0.470748556,0.705014841,0.700686106,0.730397859,0.005678928,0.100100175,0.851111666,0.692172997,0.307827003,0.623920883,0.135428413,0.864571587,0.835327224,0.164672776,0.519051612,0.657932468,0.342067532,1.923399351,0.570664076,0.730397859,0.730397859,5.123228434,0.724607058,0.557298324,0.66883748,0.100100175,0.47560592,0.456900353,0.482335881,0.66130473,0.362010529,6.31E-04,0.418808225,0.090502632,0.164483117,0.480849838,2,0.543099647,0.720169057,0.892292265,0.607006576,0.075075131,0.505137748,1.898174501
5594,Tommen5594,26,29,gd,4500,4526,Starvation,Simulator,0.793626361,0.768066726,0.231933274,0.827558194,0.24478226,0.856088366,0.079160532,0.981901521,0.018098479,0.108567627,0.757959119,0.487768226,0.655611505,0.629059542,0.580826632,0.898942871,0.101057129,0.139602467,0.68600835,0.31399165,0.465613119,0.534386881,0.474899642,0.768066726,0.231933274,3.3115849,0.703136308,0.487768226,0.487768226,4.022952306,2.013049373,0.174655061,1.400251269,0.629059542,0.604943087,0.646237805,0.471525596,0.526484612,0.384331005,0.072845723,0.494637046,0.096082751,0.192016682,0.827896225,2,0.353762195,1.568145299,1.844962226,0.674272925,0.471794656,1.202695085,1.599644779
5595,Bran5595,200,29,gd,4500,4700,Starvation,Simulator,0.675713242,0.644476541,0.355523459,0.891702154,0.590499319,0.859425063,0.275270184,0.483646997,0.516353003,0.08232316,0.067600382,0.240336493,0.588061871,0.61217876,0.874650876,0.184101959,0.815898041,0.58261219,0.459272773,0.540727227,0.47983253,0.52016747,0.384101671,0.644476541,0.355523459,1.812753909,0.738610604,0.240336493,0.240336493,4.645423146,2.01237436,0.4243475,1.483032073,0.61217876,0.743414818,0.410843683,0.576452994,0.448513938,0.597395475,0.065340208,0.670405146,0.149348869,0.161119135,0.453188477,3,0.589156317,1.545646643,1.598759039,0.829335439,0.45913407,1.183475785,1.816457986
5596,Eddard5596,63,29,gd,4500,4563,Fight,Simulator,0.776459937,0.708202648,0.291797352,0.331437093,0.094300165,0.8971928,0.296758585,0.216325575,0.783674425,0.192584156,0.612100765,0.251899644,0.724037544,0.487491339,0.190178374,0.424410997,0.575589003,0.537498065,0.632061717,0.367938283,0.572547657,0.427452343,0.362141089,0.708202648,0.291797352,2.427035898,0.575169987,0.251899644,0.251899644,4.057696787,0.858776819,0.606416165,0.774656601,0.487491339,0.338834857,0.514118179,0.427714811,0.557874671,0.512494702,0.080448616,0.425664779,0.128123675,0.177050662,0.606758974,2,0.485881821,0.814510673,1.047411199,0.676847822,0.365618504,0.66487995,1.57110513
5597,Myrcella5597,21,29,gd,4500,4521,Starvation,Simulator,0.546583554,0.458903177,0.541096823,0.863242066,0.881523624,0.322426892,0.32323505,0.332007969,0.667992031,0.717902892,0.109194692,0.119970769,0.277789548,0.805709314,0.656811063,0.036158961,0.963841039,0.536729365,0.142722421,0.857277579,0.811575122,0.188424878,0.386674063,0.458903177,0.541096823,0.848098082,0.632071938,0.119970769,0.119970769,4.512248118,2.767407201,0.485318277,2.006710893,0.805709314,0.731260188,0.294720345,0.831493447,0.521594286,0.671219339,0.030865505,0.701239764,0.167804835,0.114725794,0.21202452,3,0.705279655,1.997411294,1.88013829,1.036150583,0.604281985,1.533034858,1.725061854
5598,Brandon5598,273,29,gd,4500,4773,Starvation,Simulator,0.906995361,0.283319054,0.716680946,0.57652445,0.943341731,0.140069265,0.977169968,0.87279887,0.12720113,0.039709764,0.538996428,0.298855271,0.788172849,0.291793997,0.225609503,0.09453659,0.90546341,0.218772008,0.588692526,0.411307474,0.875222438,0.124777562,0.415005822,0.283319054,0.716680946,0.395321036,0.694785234,0.298855271,0.298855271,4.01076179,2.920473403,0.184419177,2.008455327,0.291793997,0.25870175,0.420807279,0.351550736,0.704925355,0.255283003,0.087574761,0.256992376,0.063820751,0.070829764,0.098830259,2,0.579192721,2.03394903,1.858208655,0.856695948,0.218845498,1.428914519,1.597707262
5599,Tyrion5599,,29,g,4500,Alive,Survived,Simulator,0.694763113,0.83749483,0.16250517,0.767814059,0.016556431,0.620375191,0.335988316,0.736586331,0.263413669,0.796700448,0.431435442,0.913900297,0.970109048,0.073353908,0.758379039,0.609906315,0.390093685,0.131881346,0.305014596,0.694985404,0.789429682,0.210570318,0.568222852,0.83749483,0.16250517,5.153650366,0.558854382,0.913900297,0.913900297,4.453062949,0.805981062,0.480242545,0.697401556,0.073353908,0.415866474,0.478730228,0.384169656,0.668354984,0.102617627,0.107789894,0.25924205,0.025654407,0.209373707,1.288412592,2,0.521269772,0.819054849,1.506923089,0.591686938,0.055015431,0.564375043,1.706569075
5600,Brandon5600,112,29,gd,4500,4612,Fight,Simulator,0.161354795,0.852665972,0.147334028,0.560995977,0.599201091,0.925510429,0.940338817,0.044362004,0.955637996,0.639389053,0.439773454,0.576871105,0.913624002,0.289437004,0.710825374,0.592392917,0.407607083,0.228195533,0.937696497,0.062303503,0.453809243,0.546190757,0.452483478,0.852665972,0.147334028,5.787298313,0.481683417,0.576871105,0.576871105,4.646363156,0.076901067,0.829382366,0.327728167,0.289437004,0.500131189,0.632522353,0.175870254,0.591067646,0.258816269,0.101513778,0.379473729,0.064704067,0.213166493,1.446824578,2,0.367477647,0.35906321,1.217331606,0.649079349,0.217077753,0.311734724,1.743186784
5601,Arya5601,81,29,gd,4500,4581,Fight,Simulator,0.299625027,0.134344766,0.865655234,0.475519677,0.167859447,0.907382297,0.484793854,0.279264236,0.720735764,0.042271044,0.788336511,0.078428264,0.599738988,0.708387437,0.316539464,0.920134851,0.079865149,0.43079015,0.802489198,0.197510802,0.168095889,0.831904111,0.401332495,0.134344766,0.865655234,0.155194309,0.430002295,0.078428264,0.078428264,4.12305432,3.560760152,0.506633264,2.542717856,0.708387437,0.512463451,0.680656012,0.452949119,0.390974668,0.569588793,0.066637665,0.541026122,0.142397198,0.033586191,0.038798577,3,0.319343988,2.436006853,2.228771528,1.213183252,0.531290578,1.801101428,1.539898093
5602,Jaime5602,35,29,gd,4500,4535,Fight,Simulator,0.137551443,0.043061423,0.956938577,0.175267238,0.194204767,0.920787487,0.17109287,0.697932221,0.302067779,0.050599796,0.308606805,0.652713281,0.429641096,0.827923654,0.734391751,0.288075099,0.711924901,0.742173976,0.027940475,0.972059525,0.933847302,0.066152698,0.677571725,0.043061423,0.956938577,0.044999151,0.313072476,0.652713281,0.652713281,4.747386851,1.069278414,0.418949613,0.852502147,0.827923654,0.781157702,0.329003893,0.899991589,0.574176727,0.785048815,0.0477379,0.783103259,0.196262204,0.010765356,0.011249788,4,0.670996107,0.786399558,0.765930839,0.542433426,0.62094274,0.731247285,1.702732409
5603,Bran5603,,29,g,4500,Alive,Survived,Simulator,0.845135642,0.653485228,0.346514772,0.148465975,0.239448315,0.858450685,0.744176647,0.473015346,0.526984654,0.909401217,0.984090625,0.224264868,0.508269572,0.088251837,0.779483014,0.427748761,0.572251239,0.111305637,0.500598815,0.499401185,0.105097601,0.894902399,0.301080173,0.653485228,0.346514772,1.885879852,0.587327252,0.224264868,0.224264868,4.612010652,2.109181656,0.426078059,1.548147124,0.088251837,0.433867426,0.482086894,0.293826511,0.349613896,0.099778737,0.056474397,0.266823082,0.024944684,0.163371307,0.471469963,2,0.517913106,1.606316257,1.659045446,0.854776552,0.066188878,1.092940464,1.751937434
5604,Tyrion5604,259,29,gd,4500,4759,Fight,Simulator,0.416507328,0.923175358,0.076824642,0.011235497,0.377771456,0.021636388,0.174897299,0.820546047,0.179453953,0.143449233,0.1493889,0.698919406,0.489835555,0.730522661,0.33683584,0.425430113,0.574569887,0.649505987,0.460964899,0.539035101,0.262665202,0.737334798,0.55772936,0.923175358,0.076824642,12.01665684,0.248731599,0.698919406,0.698919406,4.254652254,1.174020982,0.352609104,0.900217023,0.730522661,0.533679251,0.471598753,0.634778881,0.340537569,0.690014324,0.054426173,0.611846787,0.172503581,0.23079384,3.00416421,3,0.528401247,1.074469705,2.918285722,0.603608916,0.547891996,0.898943802,1.519270009
5605,Ned5605,26,29,gd,4500,4526,Starvation,Simulator,0.094333068,0.696783408,0.303216592,0.518475538,0.526876921,0.05678083,0.629532057,0.553022649,0.446977351,0.024787243,0.842996542,0.034913937,0.506814943,0.705805631,0.74912385,0.94439926,0.05560074,0.042419655,0.914068784,0.085931216,0.17842766,0.82157234,0.30196629,0.696783408,0.303216592,2.297972565,0.258159885,0.034913937,0.034913937,4.223895873,15.83959597,0.309622879,10.66293827,0.705805631,0.727464741,0.714617011,0.395868423,0.418900977,0.374112643,0.056312771,0.550788692,0.093528161,0.174195852,0.574493141,3,0.285382989,10.63702065,9.794885631,4.109661252,0.529354223,7.267798507,1.51278951
5606,Melisandra5606,,29,g,4500,Alive,Survived,Simulator,0.552237212,0.90681096,0.09318904,0.527120979,0.180881913,0.226924082,0.526053173,0.43099771,0.56900229,0.222172498,0.828770955,0.911895679,0.863474622,0.158412744,0.688397676,0.892016779,0.107983221,0.951105653,0.913116702,0.086883298,0.778452075,0.221547925,0.569612689,0.90681096,0.09318904,9.730875691,0.40788028,0.911895679,0.911895679,5.242492425,0.472639273,0.683300086,0.542859544,0.158412744,0.42340521,0.70128337,0.122648021,0.783884875,0.554759199,0.095941625,0.489082204,0.1386898,0.22670274,2.432718923,2,0.29871663,0.631572448,2.142637962,0.652549968,0.118809558,0.460651485,1.91543811
